PATH;AGE_0_2;AGE_2_8;AGE_9_14;AGE_15_24;AGE_25_34;AGE_35_44;AGE_45_54;AGE_55+;SHAPE_Column;SHAPE_Hour-glass;SHAPE_Pear;SHAPE_Apple;SHAPE_Full hour-glass;SHAPE_Full pear;OCCASION_Casual;OCCASION_Smart Office Attire;OCCASION_Tea-party / Summer party / Day-time occasion;OCCASION_Black tie;OCCASION_Smart-Casual / Creative;OCCASION_Beach;OCCASION_Sport;SEASON_summer;SEASON_autumn;SEASON_winter;SEASON_spring;PATTERN_yes
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_316.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_33.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_334.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_346.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_352.jpg;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_370.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_377.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_389.jpg;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_395.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_413.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_427.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_43.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_433.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_444.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_462.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_480.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_491.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_514.jpg;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_528.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_53.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_534.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_544.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_555.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_560.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_570.jpg;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_577.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_600.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_61.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_618.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_626.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_632.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_646.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_658.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_666.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_672.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_678.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_684.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_690.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_697.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_7.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_709.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_715.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_719.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_73.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_731.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_749.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_758.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_764.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_774.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_78.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_781.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_790.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_802.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_806.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_824.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_831.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_837.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_842.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_85.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_865.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_879.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_885.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_895.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_902.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_907.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_914.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_928.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_99.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0
